,Open,High,Low,Close,Volume,DeliveryPct
2020-01-14,161.4,166.1,161.0,165.0,19728091.0,18.74
2020-01-15,165.0,165.45,161.8,164.65,11633598.0,15.75
2020-01-16,162.9,163.7,160.4,162.25,11990967.0,17.55
2020-01-17,162.7,162.7,159.0,159.5,9518702.0,26.23
2020-01-20,159.35,159.9,156.2,156.9,7944434.0,24.88
2020-01-21,157.0,158.4,153.55,153.9,10481008.0,25.0
2020-01-22,155.85,158.25,152.8,153.2,15503961.0,23.62
2020-01-23,153.6,155.4,152.35,154.15,12087029.0,39.59
2020-01-24,155.0,157.1,153.75,155.9,8012015.0,24.87
2020-01-27,153.4,153.4,148.1,148.85,13357039.0,26.85
2020-01-28,147.75,147.75,141.55,142.2,22438597.0,29.81
2020-01-29,144.45,145.4,141.9,142.2,12603444.0,19.83
2020-01-30,142.15,143.4,139.8,140.95,15625276.0,13.07
2020-01-31,140.85,141.7,137.5,137.9,13980768.0,30.97
2020-02-03,134.35,136.8,132.85,134.15,13658383.0,18.65
2020-02-04,135.9,138.9,134.8,138.55,11370911.0,19.05
2020-02-05,139.3,143.9,137.6,143.1,17304767.0,24.69
2020-02-06,144.85,146.8,142.7,143.85,15736536.0,16.29
2020-02-07,143.85,145.3,141.75,144.6,9671106.0,20.66
2020-02-10,143.7,143.7,139.55,140.3,10029897.0,20.25
2020-02-11,141.65,143.6,140.2,140.75,9087616.0,20.72
2020-02-12,142.0,143.9,141.15,141.55,9280214.0,21.59
2020-02-13,142.35,143.35,140.3,142.5,6820884.0,15.87
2020-02-14,142.7,143.9,140.75,141.1,6336170.0,16.48
2020-02-17,141.3,143.8,140.8,142.1,8475514.0,22.91
2020-02-18,141.75,141.75,137.5,140.55,13205238.0,33.12
2020-02-19,142.0,144.2,141.6,142.65,8824394.0,26.43
2020-02-20,141.8,144.75,140.8,142.35,11236035.0,40.83
2020-02-21,141.8,144.75,140.8,142.35,11236035.0,40.83
2020-02-24,139.85,139.95,132.3,133.2,22666897.0,41.41
2020-02-25,134.4,135.9,132.05,132.7,14590593.0,29.42
2020-02-26,131.0,133.7,129.35,130.25,14605029.0,31.66
2020-02-27,130.0,131.4,126.4,130.55,15600307.0,34.33
2020-02-28,126.0,126.0,112.1,114.0,57363091.0,43.18
2020-03-02,117.55,119.4,109.0,110.95,32732879.0,26.21
2020-03-03,114.25,121.0,113.65,119.55,36975433.0,21.86
2020-03-04,119.0,120.0,115.1,119.35,38623129.0,28.52
2020-03-05,118.5,122.2,116.0,117.1,26357440.0,24.38
2020-03-06,111.7,113.4,108.1,111.05,16482554.0,27.06
2020-03-09,104.0,105.45,93.4,94.9,38812756.0,25.14
2020-03-10,104.0,105.45,93.4,94.9,38812756.0,25.14
2020-03-11,92.0,95.5,91.25,92.0,33275612.0,21.49
2020-03-12,84.75,85.5,78.25,79.85,38860033.0,25.54
2020-03-13,73.15,86.6,68.9,84.05,45056264.0,27.41
2020-03-16,78.0,80.7,74.25,74.85,33777113.0,23.36
2020-03-17,76.55,80.45,74.4,75.0,32830615.0,22.71
2020-03-18,78.0,78.65,72.1,72.95,30564821.0,25.24
2020-03-19,69.45,73.65,67.8,69.35,31319910.0,29.16
2020-03-20,72.4,78.0,70.4,75.45,29770505.0,24.24
2020-03-23,67.95,71.3,61.65,62.65,22554580.0,50.87
2020-03-24,67.5,68.45,62.35,62.8,30625806.0,34.64
2020-03-25,62.7,65.0,62.35,64.2,29906847.0,47.67
2020-03-26,65.6,69.2,63.5,65.8,29684035.0,39.86
2020-03-27,68.55,68.85,63.0,63.75,26206043.0,37.0
2020-03-30,61.8,62.9,60.2,61.55,17613254.0,31.35
2020-03-31,63.45,67.0,62.6,64.7,44630391.0,39.7
2020-04-01,65.0,65.4,62.35,62.65,23338192.0,46.4
2020-04-02,65.0,65.4,62.35,62.65,23338192.0,46.4
2020-04-03,64.0,64.45,62.2,62.8,24226287.0,42.45
2020-04-06,64.0,64.45,62.2,62.8,24226287.0,42.45
2020-04-07,66.3,67.7,65.1,66.75,45746171.0,47.18
2020-04-08,65.95,73.4,65.0,70.3,49394737.0,21.94
2020-04-09,73.0,77.3,72.8,76.8,41602363.0,27.03
2020-04-10,73.0,77.3,72.8,76.8,41602363.0,27.03
2020-04-13,77.6,79.45,73.65,78.3,37471015.0,21.08
2020-04-15,79.5,83.2,77.6,78.6,43610924.0,21.84
2020-04-16,77.8,84.65,77.15,82.7,54489625.0,25.57
2020-04-17,87.0,87.0,82.85,84.1,30176554.0,20.79
2020-04-20,86.45,86.45,80.8,81.45,33264777.0,26.52
2020-04-21,77.4,79.5,73.8,78.45,44069545.0,14.62
2020-04-22,75.95,77.2,73.35,76.1,37108747.0,16.79
2020-04-23,77.75,78.55,76.6,77.6,24258405.0,15.65
2020-04-24,76.8,80.25,75.7,77.95,33734788.0,15.27
2020-04-27,78.8,79.9,78.15,78.45,16789673.0,16.0
2020-04-28,78.5,78.8,75.8,76.85,33514515.0,33.52
2020-04-29,77.05,79.95,77.0,79.15,27243902.0,25.17
2020-04-30,82.0,91.0,81.5,89.55,63687038.0,26.11
2020-05-01,82.0,91.0,81.5,89.55,63687038.0,26.11
2020-05-04,82.65,83.7,77.4,79.95,33175416.0,32.97
2020-05-05,81.8,83.2,78.5,78.9,29105785.0,18.47
2020-05-06,79.7,80.9,77.95,79.45,20997197.0,15.43
2020-05-07,78.9,80.6,78.05,78.55,15605038.0,17.31
2020-05-08,80.6,80.8,77.05,77.4,15998934.0,23.59
2020-05-11,78.85,80.5,78.0,79.6,33344596.0,39.99
2020-05-12,79.45,90.5,79.05,89.05,112770254.0,16.82
2020-05-13,97.95,97.95,88.5,90.25,145841554.0,20.19
2020-05-14,88.4,91.8,87.75,89.15,38572778.0,17.36
2020-05-15,90.0,95.55,88.2,92.95,75496782.0,13.02
2020-05-18,93.95,95.65,90.1,92.5,88008676.0,18.64
2020-05-19,93.25,93.8,89.55,90.0,36133110.0,23.32
2020-05-20,90.05,90.55,88.25,88.55,21380770.0,33.52
2020-05-21,89.0,91.75,88.15,90.2,31501740.0,21.99
2020-05-22,90.0,90.4,88.6,89.1,15805466.0,24.61
2020-05-25,90.0,90.4,88.6,89.1,15805466.0,24.61
2020-05-26,89.5,90.25,87.55,87.9,17958373.0,31.7
2020-05-27,88.5,88.95,86.25,87.9,17368769.0,26.79
2020-05-28,88.9,90.95,88.05,89.95,22037867.0,32.13
2020-05-29,89.6,92.7,89.0,92.2,34104166.0,45.22
2020-06-01,93.3,97.05,92.75,93.65,23682719.0,32.98
2020-06-02,94.5,97.25,93.35,96.9,22601994.0,21.94
2020-06-03,97.5,102.5,95.9,96.7,37933329.0,20.45
2020-06-04,96.95,105.2,96.1,104.4,55983342.0,24.28
2020-06-05,105.1,106.25,102.9,105.3,33224183.0,20.45
2020-06-08,102.0,111.15,102.0,105.1,54422398.0,15.93
2020-06-09,105.1,108.25,103.7,104.6,23311112.0,16.63
2020-06-10,104.6,108.75,104.3,106.1,29455782.0,19.21
2020-06-11,104.9,106.7,100.0,101.05,21080028.0,38.02
2020-06-12,96.9,103.95,96.9,103.3,33223448.0,21.93
2020-06-15,104.0,105.3,101.5,102.4,20562556.0,19.3
2020-06-16,105.0,105.9,101.65,103.85,22657943.0,24.06
2020-06-17,103.8,104.15,101.8,102.1,11401300.0,26.56
2020-06-18,102.8,107.8,102.0,107.0,27586795.0,22.56
2020-06-19,108.45,109.4,104.45,105.25,33760231.0,38.18
2020-06-22,105.35,111.7,104.75,110.05,27109192.0,22.66
2020-06-23,110.05,111.9,109.05,110.0,20720200.0,25.63
2020-06-24,111.0,113.5,107.6,109.45,28610666.0,28.52
2020-06-25,108.95,112.25,108.0,111.25,26667328.0,24.25
2020-06-26,112.75,113.25,109.3,109.95,24544467.0,28.6
2020-06-29,110.0,110.0,105.55,107.95,16927577.0,36.39
2020-06-30,108.45,110.4,105.4,106.4,13699750.0,34.56
2020-07-01,106.4,108.8,105.95,107.7,11412484.0,28.95
2020-07-02,108.0,108.65,106.0,106.4,12174342.0,34.41
2020-07-03,106.0,107.75,103.65,106.45,23861877.0,32.11
2020-07-06,107.0,111.6,106.25,110.25,21824302.0,30.63
2020-07-07,110.4,110.6,107.3,107.6,10110445.0,34.01
2020-07-08,108.25,114.25,108.0,110.4,32389985.0,26.51
2020-07-09,111.8,114.45,111.25,112.0,20519184.0,20.43
2020-07-10,111.7,112.7,109.15,110.35,13337632.0,27.12
2020-07-13,111.2,114.2,111.1,112.4,17232333.0,27.42
2020-07-14,111.45,111.45,108.15,108.9,14902786.0,39.11
2020-07-15,108.9,110.65,108.35,109.1,13209067.0,32.38
2020-07-16,109.3,110.7,105.8,108.9,17344902.0,18.2
2020-07-17,109.4,111.1,108.1,109.15,9373147.0,16.58
2020-07-20,109.35,110.4,107.65,108.1,7764391.0,23.76
2020-07-21,109.4,111.4,107.65,110.8,20567059.0,44.49
2020-07-22,111.4,117.9,109.7,112.1,50580592.0,15.73
2020-07-23,112.8,115.1,111.9,113.95,13751638.0,23.14
